SECURITY_ID_INT,raw_X,raw_Y,vertical,horizontal
2317,118.009699231,603.653979161,large,core
2075,118.395464317,241.790153906,large,core
675,118.662303831,243.307786511,large,core
2388,119.044163505,228.358545559,large,core
221,119.254366008,226.632716684,large,core
638,121.613272864,215.804783515,large,core
1294,121.765025357,218.918499762,large,core
636,123.29119417,207.501940262,large,core
2756,123.621027025,231.871704759,large,core
2369,123.942588731,416.256571409,large,core
1250,124.841000066,215.867605771,large,core
2312,125.446541242,496.671057147,large,core
2748,126.790503641,213.776113717,large,core
588,127.358157103,247.540620547,large,core
30000186,128.094264561,267.550670152,large,core
376,128.59135313,280.362349034,large,core
4950,129.386516934,260.045646774,large,core
1487,129.44403367,392.576399468,large,core
2725,129.844019627,255.82869166,large,core
673,130.282496515,205.716242157,large,core
643,130.901135359,267.353878667,large,core
436,131.260047174,232.106370424,large,core
1975,131.35334406,404.066941774,large,core
2901,131.500063488,219.49251335,large,core
1001,131.62664575,232.431309375,large,core
88,131.975763678,215.572281776,large,core
411,133.313848516,240.771139899,large,core
1242,133.493492515,345.765961042,large,core
1364,134.323958345,200.548779801,large,core
742,136.140746182,288.474437401,large,core
3608,137.501493746,214.330644011,large,core
343,137.804478343,204.38816108,large,core
3452,138.55345843,284.745582152,large,core
917,138.790519226,268.169134846,large,core
883,140.533537331,235.864742326,large,core
2410,140.557182026,209.761283209,large,core
3775,140.765315305,255.149577195,large,core
733,140.873546645,203.154908102,large,core
29516,141.114480412,251.539401888,large,core
2914,141.932644819,200.112403103,large,core
2236,143.271797861,224.489979166,large,core
10937,143.834680842,474.387019671,large,core
401,144.879903596,206.576998109,large,core
2061,144.930582901,214.699707579,large,core
2420,145.100083892,228.584541104,large,core
1333,145.493751597,321.885046035,large,core
2375,145.52829357,319.964611056,large,core
268,145.678748205,248.495246992,large,core
1434,145.738089949,226.568331445,large,core
834,146.949696187,272.926039526,large,core
2982,147.829404218,219.939683793,large,core
2384,147.851822199,211.200599498,large,core
261,148.221202199,233.723136929,large,core
3262,148.383403852,217.079084754,large,core
914,149.073563185,242.587603531,large,core
2485,149.110885128,355.250580245,large,core
415,149.167911328,223.183720441,large,core
1330,149.462455924,267.171407418,large,core
2309,149.739201384,200.243483523,large,core
959,149.854876708,201.93151274,large,core
612,149.908558231,428.609715242,large,core
336,150.332539118,240.889422229,large,core
1234,150.61642391,298.664099464,large,core
948,151.803547655,292.39553689,large,core
3653,153.359761693,244.005193107,large,core
2227,153.715051907,347.264739049,large,core
293,153.858815529,251.823452966,large,core
3194,154.083245244,208.856727595,large,core
1526,154.193777061,267.358078582,large,core
734,154.642428743,211.469028237,large,core
847,154.830511603,215.046261448,large,core
2681,154.903113094,369.477053917,large,core
862,155.21081523,317.586174933,large,core
938,155.448863071,233.633859641,large,core
29462,155.984395605,273.311945018,large,core
109,156.277861552,202.365504256,large,core
2477,157.541089255,470.807648042,large,core
4460,157.698373893,428.474258284,large,core
2464,159.078476677,447.870009086,large,core
2766,159.318973135,303.903501691,large,core
30358,159.755133372,236.471788761,large,core
520,160.095249156,231.8400918,large,core
1119,160.149073878,278.713407993,large,core
1703,160.748045657,229.560460834,large,core
208,161.678837024,242.264319923,large,core
372,161.822653565,212.841996491,large,core
632,162.670699799,235.225261966,large,core
29370,163.69858178,271.981899515,large,core
29384,163.78357895,245.771779048,large,core
4722,164.094069259,311.672608399,large,core
3693,164.955870555,210.190309026,large,core
4133,165.046613696,211.98772799,large,core
2720,165.50863675,356.901918668,large,core
3328,165.631042324,218.371946262,large,core
2060,166.3499386,396.264783375,large,core
345860,166.435041685,363.427887175,large,core
1553,166.581587511,469.596182977,large,core
65,167.196643703,321.46189407,large,core
2364,167.401669669,208.874828708,large,core
3349,168.246783466,290.774164917,large,core
4687,169.653234415,390.88785942,large,core
841,170.39181965,417.512801117,large,core
29369,171.023250751,353.769133593,large,core
1446,171.176898911,214.275157831,large,core
2414,171.303056579,223.21423857,large,core
2140,171.4543983,200.0,mid,core
1350,171.641684827,359.823802106,large,core
4976,171.744766326,276.301773689,large,core
664,172.084289379,265.124341787,large,core
3557,173.393820569,201.778869641,large,core
2890,173.68139022,376.067948531,large,core
2503,174.676063129,287.943981876,large,core
880,175.042611268,217.604437647,large,core
610,175.17956889,373.528342065,large,core
1967,175.279730037,211.40537113,large,core
2980,176.193950821,204.678584285,large,core
29379,176.291681676,220.659819369,large,core
256,176.402335204,384.438374998,large,core
324,176.708059149,209.054578771,large,core
137,176.884466168,252.983046307,large,core
3607,177.030475888,306.664477089,large,core
595,178.711257801,367.126757432,large,core
38732,179.030177146,376.907167852,large,core
1232,179.413694966,205.187705928,large,core
2909,179.952390512,204.304860122,large,core
1148,180.181940072,212.750610044,large,core
2307,180.268594266,293.800019517,large,core
2096,180.93230063,553.925789162,large,core
3197,182.364214717,303.322701392,large,core
2072,182.66070355,222.963498092,large,core
2740,182.70358801,279.362366185,large,core
2380,182.976623571,477.862212183,large,core
29612,183.38281362,224.641810993,large,core
4767,183.753508874,209.639928991,large,core
1072,183.801496655,258.096183997,large,core
378,185.043026857,273.193405762,large,core
528,185.185869249,217.442716664,large,core
2295,185.268249413,208.242569897,large,core
1128,185.421798997,236.508795174,large,core
691,185.758998345,372.399290876,large,core
1110,185.83151807,296.085824473,large,core
2717,186.494162823,265.146092999,large,core
863,187.07841104,236.489389055,large,core
1733,187.586963705,214.494380517,large,core
3160,187.66415172,257.331572854,large,core
197,189.086485175,265.785085686,large,core
1988,189.950901201,409.963234984,large,core
2058,190.182055327,226.041736129,large,core
2767,192.335345204,226.657779787,large,core
798,192.609321031,288.054998937,large,core
961,193.962060233,281.854183666,large,core
1206,193.986210905,205.574551881,large,core
1561,194.045754983,210.739877209,large,core
3189,194.923030289,262.613460363,large,core
506,195.063366141,224.970887549,large,core
1982,195.25974217,208.907404085,large,core
878,195.468813349,228.977800188,large,core
4113,195.609344175,423.328443876,large,core
1155,195.713750805,239.846544168,large,core
1014,195.759925358,287.450249728,large,core
2434,195.811332708,319.824827111,large,core
2944,196.190443172,232.133618137,large,core
441,196.391631597,209.555612629,large,core
4684,196.606397868,392.93230886,large,core
30870,196.628417179,248.41084836,large,core
29381,196.966587413,206.582806623,large,core
2119,197.256069507,211.148760232,large,core
1152,197.535833114,306.545307446,large,core
1352,197.596698881,292.261529489,large,core
488,197.89546,205.791663245,large,core
729,198.183887753,205.802599181,large,core
897,198.395523669,297.131172069,large,core
3205,198.419397472,300.876298045,large,core
3466,198.436045722,262.919078615,large,core
1722,198.444495389,406.452009361,large,core
725,198.510368816,276.564509436,large,core
944,198.762302986,223.214923758,large,core
1066,199.133253168,278.533855573,large,core
3725,199.173938929,253.758608101,large,core
719,199.787952525,257.73673942,large,core
2682,200.0,407.026686725,large,core
539,200.610392639,289.54954978,large,growth
383,200.633981684,269.738768766,large,growth
1549,200.760588416,218.447865653,large,growth
524,201.831140509,261.872069219,large,growth
3580,202.605870116,272.047486489,large,growth
1429,202.726535722,213.496994554,large,growth
330,202.968791539,215.46425171,large,growth
4154,203.434638156,200.753907874,large,growth
76528,203.488628524,200.753907874,large,growth
1706,204.032553672,297.931978363,large,growth
493,204.222983012,207.293201672,large,growth
3484,204.322050919,218.178319464,large,growth
4528,204.327093131,258.585159394,large,growth
3233,204.348525967,213.304475509,large,growth
30720,205.212762497,232.711935936,large,growth
4076,207.070610315,337.987033909,large,growth
491,208.325710308,211.658959017,large,growth
86,208.627896775,395.21433266,large,growth
2489,208.688202436,221.07564045,large,growth
1538,208.839690729,216.831655682,large,growth
1117,208.940894032,250.449353155,large,growth
2490,209.015740393,201.907302149,large,growth
909,209.723720607,259.980605849,large,growth
370,210.111278656,378.619869189,large,growth
538,210.501054777,235.333672784,large,growth
1541,211.255725481,418.151213922,large,growth
2501,211.529341886,202.82748602,large,growth
1277,211.670811955,208.133366646,large,growth
3193,212.13705386,216.719089706,large,growth
2840,212.846849071,429.781894738,large,growth
1484,212.848855623,229.76685329,large,growth
1533,212.854339426,214.958749245,large,growth
2467,213.010001977,261.021911901,large,growth
1010,213.222402301,201.278716021,large,growth
132,213.407088998,201.298900857,large,growth
2089,213.914820972,271.381406181,large,growth
1388,214.596860076,350.567153517,large,growth
3565,215.802372352,217.833344935,large,growth
29639,216.077506163,368.961051022,large,growth
593,216.419356367,228.739957941,large,growth
932,216.871879841,323.726979807,large,growth
1547,216.947569827,310.629299284,large,growth
2062,217.073572248,273.766595327,large,growth
728,218.477553612,219.684247576,large,growth
784,218.505606223,257.860396672,large,growth
3377,218.613480916,229.361111165,large,growth
2202,218.807286476,322.831425551,large,growth
75,218.871425615,238.678498578,large,growth
1994,219.656876538,257.855491073,large,growth
337,219.674903667,420.836030058,large,growth
774,220.03499726,283.206888741,large,growth
1114,220.079268495,366.375899836,large,growth
3762,220.341197044,248.252578683,large,growth
2067,221.488442599,270.658029633,large,growth
2091,221.701601289,235.125628213,large,growth
987,221.788020647,250.63007354,large,growth
3302,222.163969251,289.961704057,large,growth
1083,223.077462156,263.357312015,large,growth
4060,223.472356075,237.246487507,large,growth
1455,223.682261202,291.882218066,large,growth
1709,223.912533403,233.004832739,large,growth
2436,223.997080565,355.387983832,large,growth
384,224.229473868,209.255319294,large,growth
2466,224.916296456,205.83165733,large,growth
3511,225.165089391,353.513081503,large,growth
2050,225.452393794,206.760471629,large,growth
2131,225.570675185,247.429865319,large,growth
943,226.756689587,226.132171297,large,growth
621,226.912423417,238.054686719,large,growth
1215,227.589567715,249.180717287,large,growth
29196,227.650444652,234.290156113,large,growth
504,227.818576401,251.12045422,large,growth
2981,228.741528749,217.588065582,large,growth
3367,228.752554862,200.08753735,large,growth
1529,229.0002077,202.295931161,large,growth
4087,229.101940745,243.66616957,large,growth
24,229.21403894,213.537402759,large,growth
619,229.324622909,539.069249073,large,growth
2762,229.610023781,244.304271217,large,growth
267,230.136861277,234.449665236,large,growth
2712,230.191198533,300.279533059,large,growth
2919,230.66201204,232.635941039,large,growth
3376,232.014756646,329.488359897,large,growth
1012,232.265314756,268.248811851,large,growth
2112,233.139203371,303.029368527,large,growth
1386,234.226358487,236.349791903,large,growth
2229,234.805030464,241.376444848,large,growth
3574,235.08384716,281.628478332,large,growth
3357,235.394694137,205.284293175,large,growth
820,236.14100217,234.622904911,large,growth
2744,236.170902129,201.832723763,large,growth
1789,236.307149958,243.544113528,large,growth
3255,236.349385702,310.969781362,large,growth
904,237.170946078,349.732393885,large,growth
2197,237.391944295,373.772467576,large,growth
1784,238.522407226,304.925335586,large,growth
2121,239.016276428,205.243199646,large,growth
1292,239.145266825,213.593763381,large,growth
1313,239.920563491,203.780662759,large,growth
1136,239.951073732,268.999795466,large,growth
2764,239.971581047,236.166975349,large,growth
537,241.563244909,253.066619522,large,growth
30879,242.121241612,259.949229282,large,growth
4114,242.771180962,207.373104212,large,growth
422,243.033847259,266.945054813,large,growth
3360,243.11181631,202.135829112,large,growth
963,243.265507957,231.919120072,large,growth
3340,243.974395218,242.599951255,large,growth
33116,244.491986002,362.43414146,large,growth
3329,244.513659427,323.86411097,large,growth
637,244.981827591,303.009126699,large,growth
1308,245.22153903,315.683738917,large,growth
477,245.90215739,204.253844839,large,growth
1461,245.918543933,309.210839107,large,growth
29366,245.989134378,400.494040748,large,growth
2406,246.017979586,250.108054603,large,growth
1424,246.720178764,230.149131925,large,growth
2377,246.798720578,272.269532528,large,growth
3158,246.880731421,302.722624989,large,growth
179,247.030046585,361.969677128,large,growth
30790,247.223934978,229.830838328,large,growth
1230,248.185633714,202.210710117,large,growth
1719,248.433984097,368.972649318,large,growth
4073,248.586037825,261.902738199,large,growth
496,249.137564791,202.08786628,large,growth
3267,249.336464346,334.389083063,large,growth
3171,249.403013684,474.01653381,large,growth
319,249.606414337,261.844648286,large,growth
30715,250.843623555,242.37399173,large,growth
4,251.404176927,469.568401572,large,growth
3298,251.790762143,244.901520436,large,growth
2391,252.429415238,361.717898688,large,growth
3752,252.881365326,203.137875753,large,growth
686,252.968705235,298.44350796,large,growth
1504,253.529543207,317.202809509,large,growth
1283,253.717586426,204.522890053,large,growth
2900,254.12804576,221.650219718,large,growth
526,254.715498043,252.050610283,large,growth
428,254.959050827,458.302999651,large,growth
2421,256.05902995,338.577479335,large,growth
1312,256.236933026,215.115067237,large,growth
2959,256.523800643,200.433876082,large,growth
265,257.060228781,271.543260987,large,growth
72,257.879522271,269.760376444,large,growth
30005207,258.001936485,226.61238255,large,growth
979,258.080825344,332.444537553,large,growth
369,258.225474324,286.955458985,large,growth
1792,258.753115609,270.050652876,large,growth
856,259.071333394,232.120542476,large,growth
768,259.54180632,241.693482947,large,growth
983,259.917805071,208.169804389,large,growth
2807,260.32352759,238.081564844,large,growth
83,262.313216063,235.182690768,large,growth
1450,264.261481883,227.311245822,large,growth
2225,265.161828704,223.345619075,large,growth
2413,265.70979694,217.179507846,large,growth
2203,265.920565491,206.974403954,large,growth
2757,266.023014977,287.061334864,large,growth
3747,267.675010488,304.648799349,large,growth
29842,268.558836421,334.409619717,large,growth
1281,268.910707678,281.381073242,large,growth
2685,269.553680911,218.324394606,large,growth
594,270.266989673,343.578127243,large,growth
3334,270.381984686,267.442030794,large,growth
1085,270.72673331,252.513269191,large,growth
1183,270.928249196,207.962739288,large,growth
1069,273.730166959,301.764446756,large,growth
2054,275.042389053,261.887557782,large,growth
755,275.050627022,325.647985533,large,growth
3458,275.181979909,236.969932508,large,growth
3669,275.462526605,256.634362591,large,growth
1327,276.224525111,277.157194094,large,growth
131,277.609922475,253.452917565,large,growth
396,277.93410788,235.477733925,large,growth
3440,277.976285962,240.135785054,large,growth
2132,278.594110665,208.874550494,large,growth
1392,279.683584884,215.711952572,large,growth
1186,282.057856201,242.100570722,large,growth
345,282.07159366,229.241483596,large,growth
407,282.880771047,201.733334442,large,growth
178,283.063852917,224.988782911,large,growth
1305,283.090417763,327.464333436,large,growth
1108,283.495457673,285.899568228,large,growth
4555,284.099238476,239.026289762,large,growth
523,284.147419191,227.069665509,large,growth
3405,284.265151145,283.25471269,large,growth
3471,285.988501267,208.153676487,large,growth
29957,286.243413235,288.487216208,large,growth
284,286.515193638,249.659970057,large,growth
2443,286.612185978,303.97303462,large,growth
1714,288.070056926,236.118988754,large,growth
142,288.79333417,269.83012619,large,growth
531,289.13797982,216.273067633,large,growth
1727,291.05155646,255.458647938,large,growth
2676,291.294366354,341.424076114,large,growth
1408,291.507667589,290.768856226,large,growth
29199,292.059999991,311.483711542,large,growth
67,292.168157571,203.370884001,large,growth
3632,292.300521857,227.307580528,large,growth
508,296.786833473,297.349670468,large,growth
1738,298.140688033,279.31458036,large,growth
3238,299.459815516,327.352228287,large,growth
614,300.154339663,323.177455161,large,growth
3749,300.83678672,260.137978412,large,growth
30201,302.450743706,258.609743888,large,growth
75291,304.759164662,200.325419377,large,growth
1347,304.950313878,249.873419366,large,growth
2299,304.9553506,249.717569168,large,growth
130,306.259314652,271.294421059,large,growth
536,306.584680273,200.075425725,large,growth
3456,309.359623909,219.726490781,large,growth
3724,309.608634311,207.749439238,large,growth
822,310.183776059,217.910882443,large,growth
749,311.08200975,230.129495031,large,growth
4542,311.279603078,243.579043706,large,growth
448,312.384752133,219.613842991,large,growth
152,312.846376754,264.901279199,large,growth
50,312.964303192,232.425854397,large,growth
3413,313.572015451,261.968893751,large,growth
2304,313.674986667,243.315557973,large,growth
4706,315.928998161,410.291284639,large,growth
412,316.754936326,257.041387696,large,growth
3366,319.005797787,227.33925384,large,growth
16,319.352339121,228.303999319,large,growth
119,320.233018172,299.719931734,large,growth
1704,320.671549833,297.934724102,large,growth
1401,321.274869798,249.072798146,large,growth
1122,321.451397555,213.235089493,large,growth
1115,322.489385931,555.564472044,large,growth
2053,322.958364545,230.657755555,large,growth
3828,324.562451592,281.352233425,large,growth
3215,325.007044517,315.01958986,large,growth
1522,326.328497539,270.7198962,large,growth
1354,326.34652176,234.961542822,large,growth
1502,331.119402247,229.46305351,large,growth
3335,331.347277872,311.555388817,large,growth
212,334.075392433,353.524457754,large,growth
39783,334.986835404,236.129972014,large,growth
741,335.104375108,202.9687274,large,growth
1539,337.145580569,217.872590669,large,growth
3437,339.245887912,292.77876348,large,growth
1102,341.118830869,214.965928439,large,growth
1208,341.156957713,243.179145256,large,growth
694,341.981996877,245.833913413,large,growth
2675,342.148187972,215.938242094,large,growth
4511,343.622581415,251.458642701,large,growth
3167,344.012587105,274.601443682,large,growth
3715,347.703003002,409.201980496,large,growth
29514,350.040812825,201.163738507,large,growth
2416,351.774469553,207.479362803,large,growth
30613,354.06349936,200.882017638,large,growth
873,355.177162313,359.980552274,large,growth
4091,355.179442818,238.187133836,large,growth
3832,355.354399583,225.964475051,large,growth
3572,356.237975686,329.639760142,large,growth
3477,357.764850245,251.816362456,large,growth
4607,358.704265755,211.790624729,large,growth
124,360.488083003,279.084176608,large,growth
2854,360.692449124,227.766411257,large,growth
1527,363.082355227,207.834098648,large,growth
824,367.640613209,211.967478184,large,growth
3631,368.076320272,257.693395032,large,growth
29568,369.103353308,238.214904404,large,growth
1182,371.309134447,248.940508032,large,growth
1034,374.756203539,205.571521919,large,growth
660,375.033476956,281.823560841,large,growth
902,376.136398277,237.280808418,large,growth
2945,377.384344024,247.730328475,large,growth
763,378.717851568,366.218379121,large,growth
492,380.545639087,330.350513824,large,growth
3286,380.929626051,298.81568388,large,growth
745,381.204987343,234.161271386,large,growth
39079,384.628267127,226.268248807,large,growth
4682,385.353573579,204.775360727,large,growth
1426,389.49585771,221.371104785,large,growth
235,392.47450089,255.203516113,large,growth
30754,401.821690834,302.491787468,large,growth
2389,403.895521863,221.75932091,large,growth
30015,405.880749544,238.726091294,large,growth
29371,415.832810421,208.003754677,large,growth
2858,419.286538603,210.647577961,large,growth
649,420.773798033,226.052190152,large,growth
115,431.162277127,261.154761309,large,growth
3836,440.663318094,240.466876789,large,growth
29708,442.367448346,228.913392786,large,growth
39609,450.020203449,212.100362447,large,growth
1361,477.050199484,276.406051857,large,growth
39071,485.622272317,208.677277362,large,growth
931,-275.302198473,52.6528633935,small,value
128,-231.789661436,50.950043644,small,value
1369,-200.772313767,89.0731318577,small,value
171,-185.994423122,72.8316586231,small,value
29727,-185.130263353,74.8961118621,small,value
129,-179.95692527,53.5237975084,small,value
1174,-178.087863062,-4.55686380954,small,value
357,-173.070157798,41.1412528659,small,value
925,-163.251031961,17.7472836557,small,value
3198,-160.085196784,89.4539487686,small,value
2808,-159.106973933,79.6737642618,small,value
503,-157.592487124,90.4105742773,small,value
2952,-155.01323344,59.7319298877,small,value
1758,-154.981421656,91.0784470861,small,value
30670,-150.826551866,82.7790597027,small,value
1334,-146.630337119,10.5933631454,small,value
1516,-144.617208232,35.3157359169,small,value
173,-143.223184197,89.8754570393,small,value
3834,-141.699296285,81.7983699553,small,value
3792,-141.278998932,73.1455905091,small,value
112,-139.657079571,69.8563219424,small,value
510,-138.664035767,67.7417827765,small,value
956,-137.301874954,64.1290106338,small,value
735,-135.763233317,98.0320488815,small,value
1981,-129.436046749,74.2473462853,small,value
1728,-128.138753,82.0435465951,small,value
4103,-127.517009613,95.6754594413,small,value
3364,-125.806165,88.7730287707,small,value
1311,-125.60833428,54.184643399,small,value
1139,-112.797222029,93.1829012761,small,value
30803,-107.198435146,63.5682248876,small,value
3498,-106.182365222,41.2871988586,small,value
1465,-105.6890057,85.1030008833,small,value
2319,-105.4656506,48.9730739214,small,value
1036,-101.999536172,83.4392198733,small,value
315,-95.5951613764,79.1188216443,small,value
4609,-92.6519090099,77.3738984836,small,value
3640,-91.8880161543,32.2752106516,small,value
681,-91.4303004927,67.2196984633,small,value
374,-89.455585468,83.1553674834,small,value
4783,-87.333193849,73.4922989948,small,value
874,-82.4983343334,67.7764889544,small,value
30770,-79.6686219819,54.8924632718,small,value
258,-79.2216449559,34.9576389274,small,value
3611,-78.4895863995,4.87507505666,small,value
29474,-78.1972997735,61.732277007,small,value
29092,-77.6512801718,98.6016430524,small,value
3603,-75.2013237527,60.5962934745,small,value
2065,-73.6505476223,99.7427073525,small,value
126,-66.5315606552,43.938180152,small,value
1425,-66.0232404295,-7.70500235367,small,value
399,-64.8625576349,84.6761656823,small,value
161,-63.5737784092,87.3104923739,small,value
1158,-63.1873041646,97.8023416512,small,value
3579,-61.9192566096,46.332476125,small,value
1431,-61.785842644,36.7632157984,small,value
870,-59.791713067,-4.5771131427,small,value
495,-57.6261357343,93.1886029126,small,value
29716,-57.1566989398,98.2554987798,small,value
424,-54.4525889443,68.4795538011,small,value
2500,-54.1556338175,79.6869992903,small,value
356,-53.7909063603,56.3387054934,small,value
30363,-53.5934207594,52.1505765386,small,value
1329,-52.9642745285,86.9337377119,small,value
3526,-52.9402279439,55.1295541153,small,value
2775,-51.962146577,90.127638386,small,value
2702,-51.057579756,83.5468132484,small,value
458,-50.6530898015,95.4158263112,small,value
4719,-49.5753837118,78.0057531582,small,value
3575,-49.4384751071,64.7424323737,small,value
2412,-48.7410562628,94.2398105382,small,value
945,-48.2305863723,34.221028372,small,value
3635,-47.5027992037,33.3860276189,small,value
1983,-47.279555362,96.3219672378,small,value
475,-47.2060635828,71.4657135792,small,value
29608,-46.8191851626,70.9309057791,small,value
1710,-46.1655413147,62.1677634445,small,value
1299,-45.624085888,85.9186687773,small,value
3284,-44.6407947549,78.9810526624,small,value
1427,-42.0465765891,89.8666820157,small,value
1252,-42.0164720234,71.6605086204,small,value
3541,-41.6927654368,77.7746973402,small,value
2976,-41.5646913113,85.0910423789,small,value
2069,-41.4921114425,77.4075091508,small,value
70103,-41.2091873651,-66.7948956239,small,value
322,-41.089921522,84.5098831001,small,value
2411,-39.9218907877,60.1149744509,small,value
335,-38.0742215995,69.3522262151,small,value
3656,-37.5779077036,-5.15958056144,small,value
3609,-37.461065866,86.9368228982,small,value
1770,-37.1911512929,77.1970785746,small,value
4583,-36.7784682495,54.1885973682,small,value
1456,-35.3459540262,38.4926140689,small,value
973,-35.2330570021,89.6609209523,small,value
1106,-35.048645121,17.684049773,small,value
316,-34.5191344778,63.0964108061,small,value
1046,-33.631789044,41.1339933029,small,value
1563,-32.9409016819,43.0300409213,small,value
70,-32.4448615297,81.7600305542,small,value
4973,-32.4193736495,-0.177660450742,small,value
1472,-31.3076228136,83.6891751091,small,value
4137,-29.5526802594,20.60246192,small,value
3670,-29.0304882842,98.0506115068,small,value
4761,-28.4617414511,46.7667359794,small,value
277117,-27.1388391399,-47.9384782461,small,value
3818,-26.3559524774,30.345947183,small,value
3711,-25.6633601334,57.6831670096,small,value
420,-22.3212711042,66.9985804698,small,value
29097,-21.3285861362,62.2026405125,small,value
2138,-20.7747005193,51.7230409168,small,value
214,-20.1763995296,39.1751856991,small,value
299,-19.3330342432,19.0945617011,small,value
1520,-18.3576835448,32.8434639652,small,value
464,-18.3526263291,55.025858784,small,value
29615,-18.1306412901,72.6703524727,small,value
783,-17.7586825369,22.9938786639,small,value
2224,-17.6331728348,17.6352778145,small,value
1444,-16.9739957977,85.5522561323,small,value
3350,-15.7569844468,-19.2035302537,small,value
2294,-14.9000059824,70.7233205195,small,value
1048,-14.4799306028,34.0674936932,small,value
3748,-14.1793165011,42.9716497037,small,value
2896,-13.5855646995,22.4986740575,small,value
1545,-12.8252778532,76.482385113,small,value
4581,-11.1131657451,66.2794177692,small,value
2753,-10.8021465054,38.5941467053,small,value
627,-10.7636835888,44.0640377468,small,value
272,-10.6610736723,70.4000949457,small,value
3581,-8.80090906851,70.5668419934,small,value
2417,-8.67826271885,74.0981248709,small,value
30664,-7.8617966435,22.4504896815,small,value
2523,-7.53802149117,90.1274243667,small,value
4151,-6.82684343968,86.2854185278,small,value
2320,-6.58743964967,89.5814200333,small,value
867,-6.35346270129,1.16485276453,small,value
1135,-5.77227023508,83.7170617116,small,value
4793,-5.76103077783,52.4137674485,small,value
2902,-5.55120032265,79.3660855005,small,value
3403,-5.02820727806,72.7146124109,small,value
